Course name,Course link,Cover image,Institution,Verified,Start date,Self Paced,Video link,Short description,Course provider image(LOGO),Enroll now link,About course,Overall rating,All reviews,Instructor name,instructor details,Instructor photo,Course price,length,Effort,Subject,Level,Video transcript,Languages
,,,,,,,,,,,,,,,,,,,,,,,
How Virtual Reality (VR) Works,https://www.edx.org/course/how-virtual-reality-vr-works-uc-san-diegox-cse165x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/vr-course1-378x225.jpg,UC San DiegoX,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/vr-course1-318x210.jpg?itok=LriXABSu,Learn how virtual reality technology works by writing simple VR programs with WebVR.,https://www.edx.org/sites/default/files/school/image/ucsdx-logo12012015-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AUCSanDiegoX%2BCSE165x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Virtual reality is changing the way we interact with the world. But how does it work, what hardware is involved, and how is software written for it?
In this course, part of the Virtual Reality Professional Certificate program, we will explore the foundations of user-friendly virtual reality app development for consumers, as well as enterprise solutions. Both hardware and software aspects will be discussed. You will learn to evaluate devices necessary for virtual reality applications, what their differences are, how you write interactive applications for virtual reality, and we will discuss the most frequent problems you are going to need to solve to write virtual reality software.",Missing,Missing,Jurgen P. Schulze,"Research Scientist and Adjunct Professor of Computer Science
UC San Diego",None,FREE,6 weeks,5-7 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
ContractsX 2017,https://www.edx.org/course/contractsx-2017-harvardx-hls2x,Images/https://www.edx.org/sites/default/files/course/image/promoted/contractsx_from_trust_to-promise_to_contract_378x225_0.jpg,HarvardX,Yes,,Yes,Missing,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?",https://www.edx.org/sites/default/files/school/image/banner/harvard_logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3AHarvardx%2BHLS2X%2B4T2017&enrollment_action=enroll&email_opt_in=true,"Learn about contracts from Harvard Law Professor Charles Fried, one of the world’s leading authorities on contract law. Contracts are promises that the law will enforce. But when will the law refuse to honor a promise? What happens when one party does not hold to their part of the deal? This version of the course adds new units on Interpretation, Agency, Partnerships, Corporations, and Government Regulation. 

We are exposed to contracts in all areas of our life — agreeing to terms when downloading a new computer program, hiring a contractor to repair a leaking roof, and even ordering a meal at a restaurant. Knowing the principles of contracts is not just a skill needed by lawyers, it illuminates for everyone a crucial institution that we use all the time and generally take for granted.

This contract law course, with new materials and updated case examples, is designed to introduce the range of issues that arise when entering and enforcing contracts. It will provide an introduction to what a contract is and also analyze the purpose and significance of contracts. Then, it will discuss the intent to create legal relations, legality and morality, and the distinction between gifts and bargains. The course also investigates common pitfalls: one-sided promises, mistake, fraud, and frustration. With the knowledge of what makes contracts and how they can go wrong, Professor Fried will discuss remedies and specific performance. Finally, Professor Fried will introduce how contracts can create rights for third parties. 

The course’s instructor, Charles Fried, has been teaching at Harvard Law School for more than 50 years and has written extensively on contracts. Not only is Professor Fried a leading authority on contract law, but he also utilizes a story-telling approach to explaining the topic, which creates a unique and interesting class experience.
HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code : https://www.edx.org/edx-terms-service. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.
HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement : http://harvardx.harvard.edu/research-statement to learn more.
Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form : https://www.edx.org/contact-us.",Missing,Missing,Charles Fried,"Beneficial Professor of Law
Harvard University",None,FREE,8 weeks,3-6 hours per week,Business & Management,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
International Humanitarian Law,https://www.edx.org/course/international-humanitarian-law-louvainx-louv16x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/louv16x-courseimage_378x225.jpg,LouvainX,Yes,,Yes,Missing,"Learn how international law regulates armed conflicts, protects individuals in wartime, and guarantees minimum compliance.",https://www.edx.org/sites/default/files/school/image/banner/ucl-logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ALouvainX%2BLouv16x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Armed conflicts have always existed all over the world. Unfortunately, recent events have shown that this phenomenon is becoming increasingly complex, especially with respect to certain legal issues, for instance relating to:
the definition of armed conflicts when foreign forces are fighting armed groups located in the territory of another State.
the definition of combatants when terrorists are involved in the hostilities.
the targeting of certain objects which are used for both military and civilian purposes.
the detention by rebels of State armed forces.
the involvement and status of UN peacekeepers involved in combat operations.
the application of the law of occupation to international organizations.
who and what can be targeted by the enemy.
which weapons can be used.
which method of warfare is authorized.
who enjoys protection and what type of protection.
which norms apply in non international armed conflicts.",4.5/5,9 Reviews,Raphaël Van Steenberghe,"Professor at the International Law Centre
Université catholique de Louvain",None,FREE,11 weeks,8-12 hours per week,Humanities,Advanced,English,English
,,,,,,,,,,,,,,,,,,,,,,,
"Responsible Innovation: Ethics, Safety and Technology",https://www.edx.org/course/responsible-innovation-ethics-safety-delftx-ri101x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/ri-home_378x225.jpg,DelftX,Yes,,Yes,Missing,How to deal with risks and ethical questions raised by development of new technologies.,https://www.edx.org/sites/default/files/school/image/banner/delft_logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ADelftX%2BRI101x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"There is no doubt that technological innovation is one of the key elements driving human progress.
However, new technologies also raise ethical questions, have serious implications for society and the environment and pose new risks, often unknown and unknowable before the new technologies reach maturity. They may even lead to radical disruptions. Just think about robots, self-driving vehicles, medical engineering and the Internet of Things.",0/5,0 Reviews,Jeroen van den Hoven,Missing,None,FREE,7 weeks,4-6 hours/week,Ethics,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Software Construction: Object-Oriented Design,https://www.edx.org/course/software-construction-object-oriented-ubcx-softconst2x,Images/https://www.edx.org/sites/default/files/course/image/promoted/softconst2-v4_378x225.jpg,UBCx,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/softconst2-v4_318x210.jpg?itok=n3Wpi4Qr,Learn how to design large software systems that solve real-world problems using object-oriented design techniques.,https://www.edx.org/sites/default/files/school/image/ubcx-200x101_0.jpg,https://courses.edx.org/register?course_id=course-v1%3AUBCx%2BSoftConst2x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"This course, part of the Software Development MicroMasters program, will dig deep into the principles of object oriented design, and introduce new abstraction techniques and design patterns. You will use these techniques to build an application that makes use of popular online services and APIs – the most complex software design project so far.",0/5,0 Reviews,Gail Murphy,"Professor of Computer Science
University of British Columbia",None,FREE,6 weeks,8-10 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Europeana Space: Creative with Digital Heritage,https://www.edx.org/course/europeana-space-creative-digital-kuleuvenx-eurospacex-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/eurospacex_2017_kuleuvenx-378225.jpg,KULeuvenX,Yes,,Yes,Missing,Learn how to creatively reuse digital cultural content from professionals of the Europeana Space network.,https://webview.edx.org/sites/default/files/school/image/kuleuvenx-logo-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AKULeuvenX%2BEurospaceX%2B3T2017&enrollment_action=enroll&email_opt_in=true,"How can you engage with and reuse the wealth of digital cultural heritage available online in many repositories such as Europeana? How can you become an active user of this content, using, remixing and reinventing it for your research, lessons, and development?
Whether you are a student or teacher with an interest in cultural heritage, a GLAM professional, a developer or simply a cultural heritage enthusiast without prior technical knowledge, this MOOC is for you.
use and re-use Europeana and digital cultural contentcultural content is not just to contemplate, but to live and engage with.
Cultural heritage amateurs, students, and teachers. The information provided here concerns digital cultural heritage in a broad sense; different kinds of content are presented here and it is explained how to easily reuse them. No technical skills or understanding of the underlying mechanisms of the cultural sector are needed for this part.
GLAM professionals (Galleries, Libraries, Archives and Museums). The information provided here presuppose a professional knowledge of the sector. The aim is to help GLAM professional discovering and understanding useful tools - such as those on the E-Space platform and Europeana Labs - that can be used to enhance, remix, rethink, play with collections in new and fascinating ways.
Developers. This is the most technical part of each module and it is intended as a way for developers to discover the tools they can work with.
This MOOC is based on the Europeana Space project, which has received funding from the European Union's ICT Policy Support Programme as part of the Competitiveness and Innovation Framework Programme, under GA n° 621037 and aims to further the creative reuse of Europeana Content.",0/5,0 Reviews,Sarah Whatley,"Director of the Centre for Dance Research (C-DaRE)
Coventry University, UK",None,FREE,8 weeks,2-4 hours per week,Art & Culture,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
